FECHA,LOCAL,GOLESLOCAL,GOLESVIS,VISITA
Jornada 4 23 - 26 Feb,Curico Unido,4 , 4,U. Espanola
Jornada 5 02 - 05 Mar,Everton Vina,2 , 1,CD San Luis
Jornada 5 02 - 05 Mar,Palestino,1 , 1,A. Italiano
Jornada 5 02 - 05 Mar,Colo Colo,2 , 1,Huachipato
Jornada 5 02 - 05 Mar,U. Espanola,2 , 3,U. de Conce
Jornada 5 02 - 05 Mar,D. Iquique,0 , 1,U. Catolica
Jornada 5 02 - 05 Mar,U. de Chile,2 , 0,Antofagasta
Jornada 5 02 - 05 Mar,U. La Calera,0 , 0,Curico Unido
Jornada 5 02 - 05 Mar,O Higgins,2 , 0,Deportes Temuco
Jornada 6 16 - 19 Mar,Deportes Temuco,3 , 2,Palestino
Jornada 6 16 - 19 Mar,Curico Unido,3 , 0,A. Italiano
Jornada 6 16 - 19 Mar,Everton Vina,0 , 1,U. de Chile
Jornada 6 16 - 19 Mar,Antofagasta,3 , 2,O Higgins
Jornada 6 16 - 19 Mar,CD San Luis,0 , 0,D. Iquique
Jornada 6 16 - 19 Mar,U. Catolica,3 , 1,U. Espanola
Jornada 6 16 - 19 Mar,U. de Conce,2 , 1,Colo Colo
Jornada 6 16 - 19 Mar,Huachipato,2 , 0,U. La Calera
Jornada 7 30 Mar - 01 Abr,A. Italiano,2 , 3,U. de Chile
Jornada 7 30 Mar - 01 Abr,Colo Colo,1 , 0,U. Catolica
Jornada 7 30 Mar - 01 Abr,Huachipato,2 , 0,Everton Vina
Jornada 7 30 Mar - 01 Abr,O Higgins,4 , 0,CD San Luis
Jornada 7 30 Mar - 01 Abr,Curico Unido,1 , 1,Deportes Temuco
Jornada 7 30 Mar - 01 Abr,D. Iquique,1 , 3,U. de Conce
Jornada 7 30 Mar - 01 Abr,Palestino,1 , 1,Antofagasta
Jornada 7 30 Mar - 01 Abr,U. La Calera,1 , 0,U. Espanola
Jornada 8 06 - 08 Abr,Antofagasta,0 , 0,Huachipato
Jornada 8 06 - 08 Abr,Deportes Temuco,0 , 4,D. Iquique
Jornada 8 06 - 08 Abr,Everton Vina,1 , 3,U. La Calera
Jornada 8 06 - 08 Abr,U. de Chile,2 , 1,Curico Unido
Jornada 8 06 - 08 Abr,CD San Luis,1 , 0,Colo Colo
Jornada 8 06 - 08 Abr,U. Catolica,2 , 1,Palestino
Jornada 8 06 - 08 Abr,U. de Conce,1 , 0,A. Italiano
Jornada 8 06 - 08 Abr,U. Espanola,2 , 0,O Higgins
Jornada 9 13 - 15 Abr,Huachipato,0 , 0,Deportes Temuco
Jornada 9 13 - 15 Abr,O Higgins,0 , 1,U. Catolica
Jornada 9 13 - 15 Abr,Palestino,2 , 1,Everton Vina
Jornada 9 13 - 15 Abr,U. La Calera,1 , 3,U. de Conce
Jornada 9 13 - 15 Abr,Curico Unido,3 , 4,Antofagasta
Jornada 9 13 - 15 Abr,D. Iquique,0 , 1,U. Espanola
Jornada 9 13 - 15 Abr,U. de Chile,1 , 3,Colo Colo
Jornada 9 13 - 15 Abr,A. Italiano,1 , 1,CD San Luis
Jornada 10 20 - 22 Abr,Colo Colo,2 , 0,Deportes Temuco
Jornada 10 20 - 22 Abr,D. Iquique,2 , 1,Palestino
Jornada 10 20 - 22 Abr,U. Espanola,2 , 1,Huachipato
Jornada 10 20 - 22 Abr,O Higgins,2 , 2,Curico Unido
Jornada 10 20 - 22 Abr,U. Catolica,1 , 0,A. Italiano
Jornada 10 20 - 22 Abr,U. de Conce,2 , 0,Everton Vina
Jornada 10 20 - 22 Abr,U. La Calera,6 , 1,U. de Chile
Jornada 10 20 - 22 Abr,Antofagasta,1 , 0,CD San Luis
Jornada 11 28 - 29 Abr,Curico Unido,0 , 0,Colo Colo
Jornada 11 28 - 29 Abr,Everton Vina,1 , 1,U. Espanola
Jornada 11 28 - 29 Abr,Huachipato,2 , 2,D. Iquique
Jornada 11 28 - 29 Abr,A. Italiano,0 , 0,Antofagasta
Jornada 11 28 - 29 Abr,Deportes Temuco,0 , 2,U. La Calera
Jornada 11 28 - 29 Abr,Palestino,2 , 3,O Higgins
Jornada 11 28 - 29 Abr,U. de Chile,1 , 2,U. de Conce
Jornada 11 28 - 29 Abr,CD San Luis,1 , 1,U. Catolica
Jornada 12 04 - 06 May,Antofagasta,3 , 2,Deportes Temuco
Jornada 12 04 - 06 May,D. Iquique,2 , 2,Curico Unido
Jornada 12 04 - 06 May,U. Espanola,4 , 0,CD San Luis
Jornada 12 04 - 06 May,U. La Calera,1 , 0,A. Italiano
Jornada 12 04 - 06 May,Colo Colo,3 , 1,Everton Vina
Jornada 12 04 - 06 May,O Higgins,0 , 1,U. de Chile
Jornada 12 04 - 06 May,Palestino,1 , 2,U. de Conce
Jornada 12 04 - 06 May,U. Catolica,3 , 1,Huachipato
Jornada 13 11 - 13 May,Colo Colo,0 , 0,D. Iquique
Jornada 13 11 - 13 May,Huachipato,1 , 1,Palestino
Jornada 13 11 - 13 May,CD San Luis,1 , 2,U. La Calera
Jornada 13 11 - 13 May,A. Italiano,1 , 2,O Higgins
Jornada 13 11 - 13 May,Deportes Temuco,2 , 0,U. Espanola
Jornada 13 11 - 13 May,Everton Vina,1 , 1,Curico Unido
Jornada 13 11 - 13 May,U. Catolica,1 , 1,U. de Chile
Jornada 13 11 - 13 May,U. de Conce,3 , 2,Antofagasta
Jornada 14 18 - 21 May,D. Iquique,1 , 1,A. Italiano
Jornada 14 18 - 21 May,U. de Chile,1 , 2,Palestino
Jornada 14 18 - 21 May,U. Espanola,3 , 2,Colo Colo
Jornada 14 18 - 21 May,U. La Calera,4 , 0,O Higgins
Jornada 14 18 - 21 May,Antofagasta,3 , 2,Everton Vina
Jornada 14 18 - 21 May,U. de Conce,0 , 0,U. Catolica
Jornada 14 18 - 21 May,Curico Unido,2 , 1,Huachipato
Jornada 14 18 - 21 May,Deportes Temuco,2 , 2,CD San Luis
Jornada 15 26 - 28 May,Huachipato,0 , 1,U. de Chile
Jornada 15 26 - 28 May,O Higgins,2 , 1,D. Iquique
Jornada 15 26 - 28 May,CD San Luis,0 , 3,U. de Conce
Jornada 15 26 - 28 May,A. Italiano,1 , 1,U. Espanola
Jornada 15 26 - 28 May,Everton Vina,2 , 2,Deportes Temuco
Jornada 15 26 - 28 May,Palestino,2 , 1,Curico Unido
Jornada 15 26 - 28 May,U. Catolica,0 , 0,Antofagasta
Jornada 15 26 - 28 May,Colo Colo,0 , 2,U. La Calera
